epoch,acc,loss,lr,val_acc,val_loss
0,0.007527404294442156,5.49534293273346,1e-04,0.01820491074321299,4.921669886807348
1,0.039785468662008244,4.672804097113637,1e-04,0.09554050179661548,4.0413879240565205
2,0.13489736090547935,3.707215964957736,1e-04,0.25303415156272113,3.0978590693811627
3,0.23126381975835894,3.0849419228901653,1e-04,0.33446232228840334,2.6391091253203656
4,0.3201656039262488,2.6398537037302185,1e-04,0.41363251348050545,2.268461999333312
5,0.39228754622445294,2.301746094814032,1e-04,0.4345187668305079,2.1798940408778265
6,0.4578230088489599,2.0080546902995553,1e-04,0.5311882538274625,1.7750658550876162
7,0.5163328953955807,1.766172879275049,1e-04,0.5515100177048359,1.6897933518116064
8,0.5691815490531374,1.54204586777566,1e-04,0.597092859091612,1.5052111172386726
9,0.6196622066678242,1.3467885461771028,1e-04,0.6138865346461745,1.4264226598387009
10,0.6640425308026222,1.1687908671246119,1e-04,0.6230595563213737,1.380725835899226
11,0.7013031841866699,1.020446038262793,1e-04,0.6363251493907802,1.3194109544624826
12,0.7363056130228801,0.8868062662463633,1e-04,0.6538244422768053,1.2848631509306603
13,0.7705082553271687,0.763593110986312,1e-04,0.6505786124306683,1.3046154211107837
14,0.8319506938454087,0.5469142102781294,5e-05,0.6819079901550975,1.2268475218072235
15,0.853764485322618,0.4692525280224482,5e-05,0.6843070823561496,1.2185465435573957
16,0.8672981319010303,0.41864764777842745,5e-05,0.692068870495579,1.2068864280411056
17,0.8817570220215128,0.3719871504913206,5e-05,0.6850127027662601,1.2897738207204175
18,0.9088713613571121,0.2860511608915688,2.5e-05,0.7001129017184422,1.2290439697904099
